title,lyrics,label
,,
Before I Leave,cure again wanna give you some more again yeah yeah cure again whoo before i leave feel me again capture the moment so it never ends before i leave show me again act like you never want it to end you can meet me in the shower we can dry off in the covers and take advantage of each other before i leave yeah i dont need no cup of coffee you motivate my body just slip into something naughty before i leave yeahyeah before i leave feel me again capture the moment so it never ends before i leave show me again act like you never want it to end oooh let me carry you to the kitchen let me serve what youve been missing aint got time for intermission before i leave oh yeahh we create a new position you can lose your inhibition let me take away all your angry before i leave yeah yeah we dont have to rush no ill make sure you get enough girl so i can be the last thing on your mind im a make you call out my name before i leave before i leave feel me again before i leave capture the moment so it never ends before i leave show me again act like you never want it to end i dont want it to end oh oh oh show me your love oh oh show me your love oh girl before i leave feel me again before i leave call out my name before i leave feel me again,Relaxed
,,
"A Jah, Jah - Original",love lyah love iyah peace and love lyah love iyah love iyah just a little love iyah my brother says love lyah my sister says love lyah this life is not for the weak but for those whose hearts are strong hatred begets evil but with love you can’t go wrong no i say love lyah love iyah oh i say love iyah all the people say love lyah love iyah oh love lyah come on children love iyah glory train love iyah they will rise in arms against you in the name of the lawmakers and turn your brother against you and make wrong the good you’ve done but i say lovelyah lovelyah my brother says love lyah my sister says love iyah and i say love iyah love iyah peace and love lyah love lyah they will try to buy your souls with money bribing with milk and honey distorting the youths in their minds doping the wool they pull over their eyes is just another love lyah love iyah my brother says love iyah my sister says love lyah ail the people say love lyah love lyah i and i say love iyah even the babe love lyah jah call on the youth cause they’re strong don’t give your strength in vain now seek ye first the kingdom all good things shall be added here i say love your enemies bless all those who curse you do good to them that hate you a tell you pray for those that oppress you and tell them is one love iyah peace and love iyah my brother say love lyah,Relaxed
,,
Hard Times,hard times spreading just like the flu watch out homeboy dont let it catch you pppprices go up dont let your pocket go down when you got short money youre stuck on the ground turn around get ready keep your eye on the clock and be on point for the future shock hard times hard times hard times are coming to your town so stay alert dont let them get you down they tell you times are tough you hear that times are hard but when you work for that ace you know you pulled the right card hard times got our pockets all in chains ill tell you what homeboy it dont have my brain all day i have to work at my peak because i need that dollar every day of the week hard times hard times hard times can take you on a natural trip so keep your balance and dont you slip hard times is nothing new on me im gonna use my strong mentality like the cream of the crop like the crop of the cream bbbbeating hard times that is my theme hard times in life hard times in death im gonna keep on fighting to my very last breath hard times hard times hard times hard times hard times hard times,Angry
,,
Sensemilia,cocaine will blow your brain but the sensemilia is irie it haffi bun woo it haffi bun chalice ah ketch it uh first verse in front ah station di ganja pipe ah bunsmoke from di kutchie mek di police ah run di police get vex and clean out him gunmi tek one draw him crank up him gun he smell di sensemilia he ask mi fe some it haffi bun woo it haffi bun hear him tho hear him tho eem jus clean up him gun inna di cornahim seh pass mi di telephone chalwah ah weh him tek one draw him started to laughhim tek another draw and started to cough him tek ah next draw him started to talkhim get serious him tek one puffhim seh wat is dis i say the raganjawat them call it marijuanawat it name sensemilia ee sed wrap up a draw fe comisshinaone yuh fe wrap ah draw fe inspectahone yuh fe wrap ah draw fe di lawyah one yuh fe wrap up a draw fe di doctaan now di doctadi lawyah start confessseh dat di collie weed is harmless it haffi bun wooo it haffi bun boom ba dye dye dye da it haffi bun wooo it haffi bun ear dat ear dat di docta seh lawd di collie weed it haffi sharelight up di chalice inna dungtown square di docta di judge di lawyah work hereunda my foot was a crate of beermi nuh careyellowman bun di ganja anywhere hear mi now star big pause cocaine will blow your brain but the sensemilia is irie repeat 2x back to first verse in front ah station di ganja pipe ah bunsmoke from di ganja mek di babylon ah runbabylon get vex and guh clean out him gun mi tek one draw him crank up him gunweh him smell di sensemilia him ask mi fe some it haffi bun woo it haffi bun because instead ah deya kingston and dungtown mudmi rather guh ah country cut dung woodlandan build up ah ganja plantation in which i will mek a millionbecause if im right i cyan be wrongyuh play dis one on di radio station it haffi bun,Sad
,,
Reckless,for stumbling through a mess of dances for squandering my second chances for wrecking every dream and breaking everything i ever had oh yeah im reckless and senseless ive jumped all the fences abandoned all the rules and crashed like a fool out of control so criminal you couldve let me drown but you reached your hand out you met me in the fire you fanned the flames up higher couldve left me for dead but you pulled me from the edge for loving me the way you do i know im reckless but you must be reckless too for trusting me when i wasnt worth it forgiving me when i didnt deserve it for looking in my eyes and seeing the soul inside and crying crying crying im reckless and senseless ive jumped all the fences abandoned all the rules and crashed like a fool out of control so criminal you couldve let me drown but you reached your hand out you met me in the fire you fanned the flames up higher couldve left me for dead but you pulled me from the edge for loving me the way you do i know im reckless but you must be reckless too anyone else wouldve run run run run anyone else wouldve been done done done done anyone else wouldve stepped on the gas and drove away so fast and put me in the past cause baby im reckless and senseless ive jumped all the fences abandoned all the rules and crashed like a fool out of control so criminal you couldve let me drown but you reached your hand out you met me in the fire you fanned the flames up higher couldve left me for dead but you pulled me from the edge for loving me the way you do i know im reckless but you must be reckless too,Relaxed
,,
From This Moment On,i do swear that ill always be there id give anything and everything and i will always care through weakness and strength happiness and sorrow for better for worse i will love you with every beat of my heart from this moment life has begun from this moment you are the one right beside you is where i belong from this moment on from this moment i have been blessed i live only for your happiness and for your love id give my last breath from this moment on i give my hand to you with all my heart i cant wait to live my life with you cant wait to start you and i will never be apart my dreams came true because of you from this moment as long as i live i will love you i promise you this there is nothing i wouldnt give from this moment on ohh youre the reason i believe in love and youre the answer to my prayers from up above all we need is just the two of us my dreams came true because of you from this moment as long as i live i will love you i promise you this there is nothing i wouldnt give from this moment i will love you i will love you as long as i live from this moment on on mmm mmm,Relaxed
,,
I Want To Stroll Over Heaven With You,if i survey all the good things that come to me from above if i count all the blessings from the storehouse of love id simply ask for the favor of him beyond mortal king and im sure he would grant it again i want to stroll over heaven with you some glad day when all our troubles and heartaches are vanished away then well enjoy the beauty where all things are new i want to stroll over heaven with you so many places of beauty we long to see here below but time and treasures have kept us from making plans as you know but come the morning of rapture together well stand a new while i stroll over heaven with you,Relaxed
,,
Art Of Seduction,her skin smells so beautiful this womans a thrill and im so curious but i already know shes a man killer pulling me in and im losing my mind shes got a sex appeal beyond imagination and she knows how to use it to get what she wants using her body and emotion and shes using it well using it well she makes me want to want her want to want her want to want her shes pulling me in pulling me in want to want her want to want her pulling me in pulling me in using the art of seduction watching the way she moves she gets me in the mood makes me feel hot inside baby just let me ride i like the things you do so why dont you do them to me you got me going crazy baby baby baby and she knows how to use it to get what she wants using her body and emotion and shes using it well using it well she makes me want to want her want to want her want to want her shes pulling me in pulling me in want to want her want to want her want to want her want to want he and i like it,Relaxed
,,
Plug Tunin (Last Chance to Comprehend),and now for my next number id like to return to the classics perhaps the most famous classic in all the world of music— the first time around you didnt quite understand our new style of speak dont worry we can fix that right now so why dont you all just grab your bags come on aboard hoist the anchor and well be off and good luck to both of you plug one plug two plug one plug two plug one plug two plug one answering any other service perogative praised positively im acquitted enemies publicly shame my ability after the battle they admit that im with it simply soothe will move vinyl like glue transistors are never more shown with like wind vocal flow brings it all down in ruin due to a clue of a naughty noise called plug tunin hmmmm hmmmm hmmmm hmmmm hmmmm flock to the preacher called pos let him be the stir to the style of your stew sit while the kid of the plug form aroma then grab a daisy to sip your favorite brew lettin this soul fire be your first prior but dont let the kick drum stub your big toe see that the three will be your thread but like my man chuck d said what a brother know dance while i play and the cue cards sway from my flower girls china and jette the button is pressed in 89 well start the panic from de la soul and a prince from stet negative noise will be all divided dangerous to dance posdnuos will croon ducks and kizids will all be rid when paying position to the naughty noise called plug tunin hmmmm hmmmm hmmmm hmmmm hmmmm plug one plug two plug one plug two plug one plug two plug one plug two freeze cause these are the brothers brothers of the soul who present a new flick every last viewer is tuned to the method known to be a method no magicians not a trick bitten by the spoken who been titled plug two swallowed by the loonies who are jealous with the showbiz dovell teach the truth posdnuos will preach the youth to the fact that this will bring an end to the negative flow to the sway cause i say fasolati at the top we will dwell difference is fame and we rise then we build where we are set we get fat and we swell motions of the soul is a positive stride one step forward is the space we consume vivid as the moon you have yet to assume how the soul found the motto of a naughty noise called plug tunin hmmmm hmmmm hmmmm hmmmm hmmmm vocal is local so believe that this chant sends li on the strong map trying and live so you best realize that the gift that i present i say gift wrap style of the tune is personal and defining whats the rhyme is worst of all stop sit and study cause the meaning isnt muddy just preach and do the gear as the first of all watch while the pitcher is pitching cause this is the pitch of the year sing a simple song but keep the swing strong though you heard dove crying i aint fearing those who think de las on the flip tip try to flip this and youre doomed watch for the bb cause if you try to grieve me youll be hung by the wire of the plug tune hmmmm hmmmm hmmmm hmmmm hmmmm i cant twist your arm and make you stay with me are you ready for this,Sad
,,
Millie Pulled a Pistol on Santa,if you will suck my soul i will lick your funky emotions this is the stylin for a title that sounds silly but nothin silly about the triflin times of millie millie a brooklyn queen originally from philly complete with that accent that made her sound hillbilly around this time the slammin joint was “milk is chillin” but even cooler was my social worker dillon yeah i had a social worker cuz i had some troubles anyone whod riff on me id pop their dome like bubbles hed bring me to his crib to watch my favorite races thats how his daughter millie became one of my favorite faces she had the curves that made you wanna take chances i mean on her man id love to make advances i guess her father must a got the same feelin i mean actually findin his own daughter millie appealing at the time no one knew but it was a shame that millie became a victim of the touchytouchy game yo millie whats the problem lately youve been buggin on your dookie earrings someone must be tuggin you were a dancer who could always be found clubbin now youre world renowned with the frown youre luggin come to think your face look stink when dills around you hes your fatherwhat done happendid he ground you you shouldnt flip on him cuz dill is really cool matter of fact the coolest elder in the school he hooked up a trip to bring us all the lacey he volunteered to play old santa claus at macys child ya got the best pops anyone could have dillons cool super hip you should be glad yeah it seemed that santas ways were parallel with dillon but when millie and him got home he was more of a villain while she slept in he crept inside her bedroom and he would toss her and then would force her to give him head room millie tried real hard to let this hell not happen but when shed fuss he would just commence the slappin yo dillon man millies been out of school for a week man whats the deal i guess he was givin millies bruises time to heal of course he told us she was sick and we believed him and at the department store as santa we would see em and as he smiled his own child was at home plottin how off the face of this earth she was gonna knock him when i got home i found she had tried to call me my machine had kicked to her hey how ya doin sorry i tried to call the honey but her line was busy i guess ill head to macys and bug out on dillon i received a call from misses sick herself i asked her how was she recoverin her health she said that what she had to ask would make it seem minute she wanted to talk serious i said go aheadshoot she claimed i hit the combo dead upon the missile wanted to know if i could get a loaded pistol that aint a problem but why would millie need one she said she wanted her pops dillon to heed one ran some style about him pushin on her privates look honey i dont care if you kick five fits theres no way that you can prove to me that dills flip he might breathe a blunt but ya jeans he wouldnt rip youre just mad hes your overseer at school no need to play him out like hes someone cruel she kicked that she would go get it from somewhere else yeah whatever you say go for ya self macys department store the scene for santas kisses and all the little brats demandin all of their wishes time passes by as i wait for my younger brother he asks his wish i waste no time to return him back to mother as im jettin millie floats in like a zombie i ask her whats her problem all she says is where is he i give a point she pulls a pistol people screamin she shouts to dill “hes off to hell cuz hes a demon” none of the kids could understand what was the cause all they could see was a girl holdin a pistol on claus dillon pleaded mercy said he didnt mean to do all the things that her mind could do nothing but cling to millie bucked him and with the quickness it was over,Sad
,,
Ocean Front Property,if you leave me i wont miss you and i wont ever take you back girl your memory wont ever haunt me cause i dont love you and now if youll buy that i got some ocean front property in arizona from my front porch you can see the sea i got some ocean front property in arizona if youll buy that ill throw the golden gate in free i dont worship the ground you walk on i never have and thats a fact i wont follow or try to find you cause i dont love you and now if youll buy that yeah if youll buy that ill throw the golden gate in free,Relaxed
,,
Strange Glue,it was strange glue that held us together while we both came apart at the seams she said your place or mine while weve still got the time so i played along with her schemes but i dont have the right to be with you tonight so please leave me alone with no saviour in sight i will sleep safe and sound with no body around me when faced with my demons i clothe them and feed them and ill smile yes ill smile as theyre taking me over and if i cannot sleep for the secrets i keep its the price im willing to meet the end of the night never comes too quickly for me but i dont have the right to be with you tonight so please leave me alone with no saviour i will sleep safe and sound with no body around me when faced with my demons i clothe them and feed them and ill smile yes ill smile as theyre taking me over and if i cannot sleep for the secrets i keep its the price im willing to steal oh the end of the night never comes too quickly for me and ill smile the end of the night never comes too quickly for me ill smile smile smile as theyre taking me over ill smile the end of the night never comes too quickly for me never comes too quickly for me,Sad
,,
Home,lying awake did it again for christs sake shoulda told her to go and i know it but she tasted like home yeah she tasted like home i did what i did cant say hey man im just a kid saw the lie in my eyes couldnt hide it cause she tasted like home yeah she tasted like home oh well home aint what id call it when im the only ghost walkin through the hallways the pain gets so much clearer when the one to blame is standing in the mirror this fool this liar lit a match and set his life on fire i guess id rather be alone in a house thats not a home the pain in my hearts cause were a thousand miles apart ive got no one to blame for the shame cause shes waiting back home i hope shes waiting back home stupid to think that i could blame it on the drink now im trying to stall making calls to someone back home i hope theres someone back home oh well home aint what id call it when im the only ghost walkin through the hallways the pain gets so much clearer when the one to blame is standing in the mirror this fool this liar lit a match and set his life on fire i guess id rather be alone in a house thats not a home i walk through the door and theres no light on anymore must have known all along i was wrong cause theres no one at home no ones waiting back home well home aint what id call it when im the only ghost walkin through the hallways the pain gets so much clearer when the one to blame is standing in the mirror this fool this liar lit a match and set his life on fire i guess id rather be alone in a house thats not a home,Sad
,,
Dive Bar,well turn that bottle up and drink it crank that jukebox up and hank it bartender pour another round heres to our best bad decisions situation no conditions oh and memories we all need to drown so fill your cup raise it up jump in and join the club and float this whiskey river reservoir were gonna spend the weekend in the deep end of a dive bar cause up in here youre not the only loved and left her lost and lonely one whos ever swam against the tide thinkin this is your oasis its the safest of the places that a broken heart can find to hide so heres a toast coast to coast with a big old adios to wishes wasted on them falling stars were gonna spend the weekend in the deep end of a dive bar yeah its just chapter after chapter of Happy never after but thats just the way the story goes for some bar stool believers wear our heart out on our sleevers just going where the neon glows yeah its just chapter after chapter of Happy never after but thats just the way the story goes yeah were just never quite belongers hanger oners way too longers just buzzing where the neon glows problems we all got em let em sink down to the bottom doesnt matter who or where you are were gonna spend the weekend in the deep end the waters fine yall so just come on in to the deep end of a dive bar,Sad
,,
A Million Ways to Die,cowboys and pioneers come lend your eyes and ears ive got the need to testify dont try to fill your nest out in the open west cuz theres a million ways to die six bullets in the gut or just a paper cut too many ways to quantify theyll cut your ankle off to cure a minor cough cuz theres a million ways to die its a hundred and one in the shade of the sun if you fall asleep you fry you can live like a saint but there just really aint no avoiding a million ways to die smallpox and bigger pox and deadly tomahawks or god forbid you steal a pie theyll blast you into shards for bein good at cards cuz theres a million ways to die out on the desert plains it hardly ever rains and you can hear coyotes cry theyll eat you up and then theyll crap you out again cuz theres a million ways to die with a whoosh and a whack theres a knife in your back cuz you got a fancy tie its a kick in the pants but you dont have a chance of escaping a million ways to die,Sad
,,
Country Boy,excuse me maam i saw you walking i turned around im not a stalker where you going maybe i can help you my tank is full id be obliged to take you cause im a country boy i got a fourwheel drive climb in my bed and ill take you for a ride up city streets down country roads i can get you where you need to go cause im a country boy you sure look good sitting in my right seat buckle up and ill take you through the five speeds wind it up or i can slow it way down in the woods or right up town im a country boy i got a fourwheel drive climb in my bed and ill take you for a ride up city streets down country roads yeah i can get you where you need to go cause im a country boy big thirtyfives whining on the asphalt grabbing mud and slinging up some red dirt cause im a country boy my mufflers loud dual thrust tubes crank the music and the tone gets real good let me know when were getting close you can slide on out or we can head on down the road cause im a country boy i got a fourwheel drive climb in my bed and ill take you for a ride up city streets down country roads i can get you where you want to go cause im a country boy bucket seats soft as babies nude butt locking hubs to take you through a deep rut cause im a country boy i got a fourwheel drive climb in my bed and ill take you for a ride up city streets down winding roads yeah i can get you where you need to go cause im a country boy yeah im a country boy i got a fourwheel drive climb in my bed and ill take you for a ride up city streets down country roads i can get you where you want to go cause im a country boy yeah im a country boy ah im just a country boy a nice little country boy,Relaxed
,,
My Best Friend,i never had no one that i could count on ive been let down so many times and i was tired of hurtin so tired of searchin till you walked into my life it was a feeling id never known and for the first time i didnt feel alone youre more than a lover there could never be another to make me feel the way you do oh we just get closer i fall in love all over every time i look at you i dont know where id be without you here with me life with you makes perfect sense youre my best friend youre my best friend oh yeah you stand by me and you believe in me like nobody ever has when my world goes crazy youre right there to save me you make me see how much i have and i still tremble when we touch and oh the look in your eyes when we make love youre more than a lover there could never be another to make me feel the way you do oh we just get closer i fall in love all over every time i look at you and i dont know where id be without you here with me life with you makes perfect sense youre my best friend oohoh oh youre my best friend youre more than a lover there could never be another to make me feel the way you do oh we just get closer i fall in love all over every time i look at you and i dont know where id be without you here with me life with you makes perfect sense youre my best friend youre my best friend my best friend youre my best friend my best friend,Relaxed
,,
Express Yourself,dr dre yo man its a lot of brothers out there flakin and perpetratin but scared to kick reality ice cube man youve been doin all this dope producing but you aint had a chance to show em what time it is dr dre so what you want me to do  express yourself im expressing with my full capabilities and now im living in correctional facilities cause some dont agree with how i do this i get straight meditate like a buddhist im dropping flavor my behavior is hereditary but my technique is very necessary blame it on ice cube because he says it gets funky when you got a subject and a predicate add it on a dope beat and thatll make you think some suckers just tickle me pink to my stomach cause they dont flow like this one you know what i wont hesitate to dis one or two before im through so dont try to sing this some drop science well im dropping english even if yella makes it a cappella i still express yo i dont smoke weed or sess cause its known to give a brother brain damage and brain damage on the mic dont manage nothing but making a sucker and you equal dont be another sequel express yourself come on and do it now getting back to the pg thats program and its easy dre is back new jacks are made hollow expressing aint their subject because they like to follow the words the style the trend the records i spin again and again and again yo you on the other end watch a brother saying dope rhymes with no help theres no fessing and guessing while im expressing myself its crazy to see people be what society wants them to be but not me ruthless is the way to go they know others say rhymes that fail to be original or they kill where the hiphop starts forget about the ghetto and rap for the pop charts some musicians cuss at home but scared to use profanity when up on the microphone yeah they want reality but you wont hear none they rather exaggerate a little fiction some say no to drugs and take a stand but after the show they go looking for the dopeman or they ban my group from the radio hear nwa and say hell no but you know it aint all about wealth as long as you make a note to express yourself come on and do it from the heart cause if you wanna start to move up the chart then expression is a big part of it you aint efficient when you flow you aint swift moving like a tortoise full of rigor mortis theres a little bit more to show i got rhymes in my mind embedded like an embryo or a lesson all of em expression and if you start fessing i got a smith and wesson for you i might ignore your record because it has no bottom i get loose in the summer winter spring and autumn its dre on the mic getting physical doing the job nwa is the lynch mob yes im macabre but you know you need this and the knowledge is growing just like a fetus or a tumor but heres the rumor dre is in the neighborhood and hes up to no good when i start expressing myself yella slam it cause if i stay funky like this im doing damage or imma be too hyped and need a straight jacket i got knowledge and other suckers lack it so when you see dre a dj on the mic ask what its like its like we getting hype tonight cause if i strike it aint for your good health but i wont strike if you just express yourself come on and do it,Angry
,,
Satisfy My Soul,oh please dont you rock my boat dont rock my boat because i dont want my boat to be rocking dont rock my boat oh please dont you rock my boat dont rock my boat because i dont want my boat to be rocking dont rock my boat im telling you that oh ohooh woowo i like it like it this i like it like this i like it like this so keep it steady like this i like it like this and you should know you should know by now i like it i like it like this i like it like this i like it like this i like it like this i like it like this ooh yeah i like it like this satisfy my soul you satisfy my soul satisfy my soul you satisfy my soul satisfy my soul every little action satisfy my soul theres a reaction satisfy my soul oh cant you see what youve done for me oh yeah i am Happy inside all all of the time woooooo when we bend bend a new corner i feel like a sweep sweepstake winner when i meet you around the corner round the corner you make me feel like a sweepstake winner a sweep a sweepstake winner whoa child cant you see you must believe me oh darling darling im calling calling cant you see why wont you believe me oh darling darling im calling calling calling calling calling calling when i meet you around the corner oh i said baby never let me be a loner and then you hold me tight you make me feel all right yes when you hold me tight you made me feel all right satisfy my soul thats all i want you to do thats all ill take from you satisfy my soul,Relaxed
,,
Shotgun Willie,shotgun willie sits around in his underwear biting on a bullet and pulling out all of his hair shotgun willies got all of his family there well you cant make a record if you aint got nothing to say you cant make a record if you aint got nothing to say you cant play music if you dont know nothing to play shotgun willie sits around in his underwear biting on a bullet and pulling out all of his hair shotgun willies got all of his family there now john t floores was aworking for the ku klux klan at six foot five john t was a hell of a man made a lot of money selling sheets on the family plan shotgun willie sits around in his underwear biting on a bullet and pulling out all of his hair shotgun willies got all of his family there,Sad
,,
Gin and Juice,ugh hahaha im serious nigga one of yall niggas got some bad motherfuckin breath oh man aye baby aye baby shit aye baby get some bubblegum in this motherfucker or somethin aye nigga get somethin to eat dog aye nigga study long study wrong nigga with so much drama in the lbc its kind of hard bein snoop dodoubleg but i somehow some way keep comin up with funkyass shit like every single day may i kick a little something for the gs and make a few ends as i breach through two in the mornin and the partys still jumpin ‘cause my momma aint home i got bitches in the livin room gettin it on and they aint leavin till six in the mornin so what you wanna do shit i got a pocket full of rubbers and my homeboys do too so turn off the lights and close the doors but but what we dont love them hoes yeah so we gon smoke a ounce to this gs up hoes down while you motherfuckers bounce to this rollin down the street smokin indo sippin on gin and juicelaid back with my mind on my money and my money on my mind rollin down the street smokin indo sippin on gin and juice laid back with my mind on my money and my money on my mind now that i got me some seagrams gin everybody got they cups but they aint chipped in now this type of shit happens all the time you got to get yours but fool i gotta get mine everything is fine when you listening to the dog i got the cultivating music that be captivating he who listens to the words that i speak as i take me a drink to the middle of the street and get to mackin to this bitch named Sadie Sadie she used to be the homeboys lady oh that bitch 80 degrees when i tell that bitch please raise up off these nuts ‘cause you gets none of these at ease as i mob with the dogg pound feel the breeze beyotch im just… rollin down the street smokin indo sippin on gin and juice laid back with my mind on my money and my money on my mind rollin down the street smokin indo sippin on gin and juice laid back with my mind on my money and my money on my mind later on that day my homie dr dre came through with a gang of tanqueray and a fat ass j of some bubonic chronic that made me choke shit this aint no joke i had to back up off of it and sit my cup down tanqueray and chronic yeah im fucked up now but it aint no stoppin im still poppin dre got some bitches from the city of compton to serve me not with a cherry on top ‘cause when i bust my nut im raising up off the cot dont get upset girl thats just how it goes i dont love you hoes im out the door and ill be rollin down the street smokin indo sippin on gin and juice laid back with my mind on my money and my money on my mind rollin down the street smokin indo sippin on gin and juice laid back with my mind on my money and my money on my mind rollin down the street smokin indo sippin on gin and juice beyotch with my mind on my money and my money on my mind rollin down the street smokin indo sippin on gin and juice beyotch with my mind on my money and my money on my mind,Sad
,,
Norwegian Wood (This Bird Has Flown),i once had a girl or should i say she once had me she showed me her room isnt it good norwegian wood she asked me to stay and she told me to sit anywhere so i looked around and i noticed there wasnt a chair i sat on the rug biding my time drinking her wine we talked until two and then she said its time for bed she told me she worked in the morning and started to laugh i told her i didnt and crawled off to sleep in the bath and when i awoke i was alone this bird had flown so i lit a fire isnt it good norwegian wood,Relaxed
,,
Good Cop Bad Cop,turn me loose break em off some yeah good cop good cop rollin with that bad cop whatcha doin boy turn in that blood clot buck shots they fly through drug spot robots can give a damn who the fuck shot clean cop clean cop fuckin with that dirty cop dont act like yo ass never heard of that clean cop clean cop rollin with that mean cop still tryna act proud as a peacock you know that mean cop might need a detox mothafucka tried to blow me out my reeboks but i swing like jack and the beanstalk chop em down when these bitches try to lock me down hit the ground hit the turf warp the earth cube kidnap your mind patty hearst bust a verse thatll make yo ass hit reverse kill the curse that was placed on the universe west coast warlord blacker than the black knight fuck a black and white when they aint actin right good cop good cop filling out your report bad cop asking you to distort bad cop asking you to lie in court send another young brother up north send another young sista off course while these mothafuckas chill on the golf course black police showin out for the white cop white police showin out for the black cop black police showin out for the white cop white police showin out for the black cop lazy cop fuckin with that crazy cop always bragging bout the new case he got doordie cop with that suicide cop tellthetruth cop with that youalie cop are you fuckin high cop dont even try cop aint no mothafuckin drugs up in my spot all you find in my closet is the high tops and my mothafuckin tickets to the skybox hold up nigga im a rider yous a rollup yep the controller make me mad thats when i get swole up dont touch me the incredible hulk is bipolar come out the cuffs knock off the rust throw my hands whats up up you still wanna bust the trojan horse is full of excessive force when they try to get aggressive nigga off the porch cmon black police showin out for the white cop white police showin out for the black cop black police showin out for the white cop white police showin out for the black cop good cop good cop where is your dignity wheres your empathy where is your sympathy bad cop wheres your humanity good cop is that just a fantasy hell on that nigga snitch on that bitch truth be told mothafuck the blue code fuck the popo actin like deebo already know craigll let the brick go black lives matter is not chit chatter cause all they wanna do is scatter brain matter a mind is a terrible thing to waste a nine is terrible in your face the mace has a terrible fuckin taste the pen is a terrible fuckin place the kings all hate the fuckin ace the judge sabotaged my fuckin case racist motherfucker black police showin out for the white cop white police showin out for the black cop,Angry
,,
I Can See Clearly Now,i can see clearly now the rain is gone i can see all obstacles in my way gone are the dark clouds that had me blind its gonna be a bright bright bright bright sunshining day its gonna be a bright bright bright bright sunshining day oh yes i can make it now the pain is gone all of the bad feelings have disappeared here is that rainbow ive been praying for its gonna be a bright bright bright bright sunshining day ooh look all around theres nothing but blue skies look straight ahead theres nothing but blue skies i can see clearly now the rain is gone i can see all obstacles in my way here is that rainbow ive been praying for its gonna be a bright bright bright bright sunshining day its gonna be a bright bright bright bright sunshining day its going to be a bright bright bright bright sunshining day its gonna be a bright bright bright bright sunshining day its gonna be a bright bright bright bright sunshining day its gonna be a bright bright bright bright sunshining day its gonna be a bright bright bright bright sunshining day,Sad
,,
Niggaz 4 Life,why you brothers insist on usin the word nigga dont you know thats bringin down the black race nigga nigga nigga thats all i hear you motherfuckers talk about is nigga you can do what you want just keep it out of my neighborhood personally i think the lyrics are a bit too harsh i aint no nigga fuck that shit does everything come out your mouth got to be a 4letter word all over this bullshit its just a bunch of fuckin noise the way you talk about women is bullshit plain bullshit what you motherfuckers doin for the black community anyway motherfucker i got kids i dont want em listenin to that bullshit hospital monitor starts beeping fuck the niggas motherfuckers need to stop how can you call yourself a nigga and be proud of it monitor stops beeping rip flatline bullshit why do i call myself a nigga you ask me well its because motherfuckers wanna blast me and run me outta my neighborhood and label me as a dope dealer yo and say that im no good but i gave out jobs so niggas wouldnt have to go out gave em some dope and a corner so they could show out when the cops came they gave a fake name because the life in the streets is just a head game so therefore to make more a 15yearold black kidll go and rob a liquor store and get shot in the process he ate up a nine bullet and now hes put to rest why do i call myself a nigga you ask me i guess its just the way shit has to be back when i was young gettin a job was murder fuck flippin burgers cause i deserve a ninetofive i can be proud of that i can speak loud of and to help a nigga get out of yo the concrete playground but most motherfuckers only want you to stay down but im a smart motherfucker you see one of the best producers in the rap music industry gettin paid like a motherfucker a young brother who dont give a fuck about another yeah why do i call myself a nigga you ask me because police always wanna harass me every time that im rollin they swear up and down that the car was stolen make me get face down in the street and throw the shit out my car on the concrete in front of a residence a million white motherfuckers on my back like i shot the president why do i call myself a nigga you ask me because my mouth is so motherfuckin nasty bitch this bitch that nigga this nigga that in the mean while my pockets are gettin fat gettin paid to say this shit here makin more in a week than a doctor makes in a year so why not call myself a nigga its better than pullin the trigger and goin up the river and then i get called a nigga anyway broke as a motherfucker and locked away so so cut out all that bullshit yo i guess ill be a nigga for life niggas crackers jews if theres hell below were all gonna go nigga nigga nigga nigga nigga nigga please im treated like a fuckin disease you say why do i call myself a nigga so quick cause i can reach in my drawers and pull out a bigger dick yo nigga say nigga we cool but cracker say nigga nigga knocked the fuck up but i gotta be a fast nigga to never be the last nigga or ill have to beat yo ass nigga in the city you see action first then hear about it later in a verse i curse because im real with this to keep my shit straight bumpin murder created by the streets of compton now get it from the underground poet i live it i see it and i write it because i know it and if you think im fuckin your wife youre motherfuckin right yo cause im a nigga for life i love niggas i love niggas i love niggas because niggas are me and i should only love that which is me i love that you niggas niggas for life nigga this nigga that the actual fact is that im black and bound to attract the attention of another i mean the other but im a motherfucker thatll have em runnin for cover you see i dont give a fuck about nothin except gettin paid gettin bitches and issuin stitches which is all needed to read it and find a rhyme and then its time to say the niggas here to stay but what about the fake niggas the house niggas to get paid quick they gotta suck a fat dick but nwa is outta your motherfuckin range we aint gonna change a motherfuckin thang i call myself a nigga cause my skin wont lighten i call myself a nigga cause the shit that im writin hypes me hypes other motherfuckers around me and thats the reason why they wanna surround me and ask me why do i call myself a negro aint none of their fuckin business cause ill let the trigger go so get out my presence and get out of my sight cause mc ren is a nigga for life youre a nigga til you die if youre a po nigga youre a po nigga if youre a rich nigga youre a rich nigga but you never stop bein a nigga and if you get to be educated you just an educated nigga i can dig it its plain to see you cant change me cause imma be a nigga for life static noise im a nigga hes a nigga shes a nigga we some niggas wouldnt you like to be a nigga too,Angry
,,
